RTT,cwnd
565,117
566,118
567,119
568,120
569,121
570,122
571,123
572,124
573,125
574,126
575,127
576,128
577,129
578,130
579,131
580,132
581,3
582,4
583,5
584,6
585,7
586,8
587,1
588,2
589,3
590,4
591,5
592,6
593,7
594,8
595,9
596,10
597,11
598,12
599,13
600,14
601,15
602,16
603,17
604,18
605,19
606,20
607,21
608,22
609,23
610,24
611,25
612,26
613,27
614,28
615,29
616,30
617,31
618,32
619,33
620,34
621,35
622,36
623,37
624,38
625,39
626,40
627,41
628,42
629,43
630,44
631,45
632,46
633,47
634,48
635,49
636,50
637,51
638,52
639,53
640,54
641,55
642,56
643,57
644,58
645,59
646,60
647,61
648,62
649,63
650,64
651,65
652,66
653,67
654,68
655,69
656,70
657,71
658,72
659,73
660,74
661,75
662,76
663,77
664,78
665,79
666,80
667,81
668,82
669,83
670,84
671,85
672,86
673,87
674,88
675,89
676,90
677,91
678,92
679,93
680,94
681,95
682,96
683,97
684,98
685,99
686,101
687,102
688,103
689,104
690,105
691,106
692,107
693,108
694,109
695,110
696,111
697,112
698,113
699,114
700,115
701,116
702,117
703,118
704,119
705,120
706,121
707,122
708,123
709,124
710,125
711,126
712,127
713,3
714,4
715,5
716,6
717,7
718,8
719,9
720,10
721,11
722,12
723,13
724,14
725,15
726,16
727,17
728,18
729,19
730,20
731,21
732,22
733,23
734,24
735,25
736,26
737,27
738,28
739,29
740,30
741,31
742,32
743,33
744,34
745,35
746,36
747,37
748,38
749,39
750,40
751,41
752,42
753,43
754,44
755,45
756,46
757,47
758,48
759,49
760,50
761,51
762,52
763,53
764,54
765,55
766,56
767,57
768,58
769,59
770,2
771,3
772,4
773,5
774,6
775,7
776,8
777,9
778,10
779,11
780,12
781,13
782,14
783,15
784,16
785,17
786,18
787,19
788,20
789,21
790,22
791,23
792,24
793,25
794,26
795,27
796,28
797,29
798,30
799,31
800,32
801,33
802,34
803,35
804,36
805,37
806,38
807,39
808,40
809,41
810,42
811,43
812,44
813,45
814,46
815,47
816,48
817,49
818,50
819,51
820,52
821,53
822,54
823,55
824,56
825,57
826,58
827,59
828,60
829,61
830,62
831,63
832,64
833,65
834,66
835,2
836,3
837,4
838,5
839,6
840,7
841,8
842,9
843,10
844,11
845,12
846,13
847,14
848,15
849,16
850,17
851,18
852,19
853,20
854,21
855,22
856,23
857,24
858,25
859,26
860,27
861,28
862,29
863,30
864,31
865,32
866,33
867,34
868,35
869,36
870,37
871,38
872,39
873,40
874,41
875,42
876,43
877,44
878,45
879,1
880,2
881,3
882,4
883,5
884,6
885,7
886,8
887,9
888,2
889,3
890,4
891,5
892,6
893,7
894,8
895,9
896,10
897,11
898,12
899,13
900,14
901,15
902,16
903,17
904,18
905,19
906,20
907,21
908,22
909,23
910,24
911,25
912,26
913,27
914,28
915,29
916,30
917,31
918,32
919,33
920,34
921,35
922,36
923,37
924,38
925,39
926,40
927,2
928,3
929,4
930,5
931,6
932,7
933,8
934,9
935,10
936,11
937,12
938,13
939,14
940,15
941,16
942,17
943,18
944,19
945,20
946,21
947,22
948,23
949,24
950,25
951,26
952,27
953,28
954,29
955,30
956,31
957,32
958,33
959,34
960,35
961,36
962,37
963,38
964,39
965,40
966,1
967,2
968,3
969,4
970,5
971,6
972,7
973,8
974,9
975,10
976,11
977,12
978,13
979,14
980,15
981,16
982,17
983,18
984,19
985,20
986,21
987,22
988,23
989,24
990,25
991,26
992,27
993,28
994,29
995,30
996,31
997,32
998,3
999,4
1000,5
1001,6
1002,7
1003,8
1004,9
1005,10
1006,11
1007,12
1008,13
1009,14
1010,15
1011,16
1012,17
1013,18
1014,19
1015,20
1016,21
1017,22
1018,23
1019,24
1020,25
1021,26
1022,27
1023,28
1024,29
